category,item,unit,price_per_unit,description
materials,electricity_us,kWh,0.071,Electricity rate in US
materials,water,kg,0.001,Water cost
materials,na2co3,kg,81.25,Sodium carbonate price
materials,li_solution,kg,9.0,Lithium solution price
materials,used_li_battery,kg,5.0,Used lithium battery purchase price
products,lithium_carbonate,kg,16.0,Lithium carbonate (Li2CO3) selling price
products,graphite,kg,20.0,Recovered graphite selling price
products,aluminum,kg,20.0,Recovered aluminum selling price
products,nickel,kg,14.0,Recovered nickel selling price
products,copper,kg,12.0,Recovered copper selling price
products,steel,kg,11.0,Recovered steel selling price
products,manganese,kg,2.82,Recovered manganese selling price
products,cobalt,kg,36.0,Recovered cobalt selling price
labor,operator_hourly_rate,hour,26.48,Operator hourly wage
labor,operators_required,count,2.72,Number of operators required
labor,working_hours_per_year,hour,8000,Working hours per year
operations,annual_capacity,kg,100000,Annual processing capacity of facility
operations,cycle_time,hour,16,Processing cycle time per batch
operations,equipment_depreciation,usd_per_year,115000,Equipment depreciation per year (facility-level)
operations,utility_base_cost,usd_per_year,5,Base utility cost per year (facility-level)
material_composition,graphite,fraction,0.281,Graphite fraction in feedstock
material_composition,aluminum,fraction,0.19,Aluminum fraction in feedstock
material_composition,nickel,fraction,0.16,Nickel fraction in feedstock
material_composition,copper,fraction,0.11,Copper fraction in feedstock
material_composition,steel,fraction,0.11,Steel fraction in feedstock
material_composition,manganese,fraction,0.05,Manganese fraction in feedstock
material_composition,cobalt,fraction,0.04,Cobalt fraction in feedstock
material_composition,lithium,fraction,0.03,Lithium fraction in feedstock
recovery_rates,graphite,fraction,0.95,Graphite recovery rate
recovery_rates,aluminum,fraction,0.95,Aluminum recovery rate
recovery_rates,nickel,fraction,0.95,Nickel recovery rate
recovery_rates,copper,fraction,0.95,Copper recovery rate
recovery_rates,steel,fraction,0.95,Steel recovery rate
recovery_rates,manganese,fraction,0.95,Manganese recovery rate
recovery_rates,cobalt,fraction,0.95,Cobalt recovery rate
recovery_rates,lithium,fraction,0.95,Lithium recovery rate
process_costs,li_solution_batches_per_facility_year,count,500,Number of lithium solution batches per facility per year
process_costs,li_solution_kg_per_batch,kg,2,Lithium solution kg per batch
process_costs,na2co3_batches_per_facility_year,count,500,Number of Na2CO3 batches per facility per year
process_costs,na2co3_kg_per_batch,kg,5,Na2CO3 kg per batch
process_costs,feedstock_kg_per_module,kg,181.4,EOL battery feedstock kg per module (400 lbs)
process_costs,water_kg_per_feedstock_batch,kg,10,Water kg per feedstock batch
process_costs,feedstock_batches_per_facility_year,count,500,Number of feedstock batches per facility per year
materials,nmc111_cathode_powder,kg,28.0,NMC111 cathode active material (LiNi0.33Mn0.33Co0.33O2)
materials,nmc622_cathode_powder,kg,32.0,NMC622 cathode active material (LiNi0.6Mn0.2Co0.2O2)
materials,nmc811_cathode_powder,kg,35.0,NMC811 cathode active material (LiNi0.8Mn0.1Co0.1O2)
materials,lfp_cathode_powder,kg,12.0,LFP cathode active material (LiFePO4)
materials,graphite_anode,kg,8.0,Natural or synthetic graphite anode material
materials,pvdf_binder,kg,15.0,PVDF binder (polyvinylidene fluoride)
materials,nmp_solvent,kg,3.0,NMP solvent (N-methyl-2-pyrrolidone)
materials,carbon_black,kg,2.5,Conductive carbon black (Super P / C65)
materials,lipf6_electrolyte_salt,kg,25.0,Lithium hexafluorophosphate (LiPF6)
materials,electrolyte_solvent,L,5.0,EC/DMC electrolyte solvent blend
materials,electrolyte_mixed,L,18.0,Pre-mixed electrolyte (LiPF6 in EC/DMC)
materials,separator_pe_pp,m2,1.2,Polyethylene/polypropylene separator film
materials,copper_foil,kg,12.0,Copper foil (anode current collector)
materials,aluminum_foil,kg,4.0,Aluminum foil (cathode current collector)
materials,aluminum_can,kg,5.5,Aluminum cell casing
materials,steel_can,kg,3.0,Steel cell casing
materials,natural_gas,MJ,0.005,Natural gas (industrial rate)
materials,nitrogen_gas,kg,0.30,Nitrogen gas (industrial supply)
materials,argon_gas,kg,2.50,Argon gas (industrial supply)
materials,deionized_water,kg,0.005,Deionized / ultrapure water
cvd_materials,tert_butyl_peroxide,kg,8.0,Di-tert-butyl peroxide (DTBP) CVD initiator
cvd_materials,hexamethyldisiloxane,kg,12.0,HMDSO monomer for oCVD
cvd_materials,parylene_dimer,kg,180.0,Parylene dimer (di-para-xylylene) for CVD
cvd_materials,pyrrole_monomer,kg,45.0,Pyrrole monomer for oCVD conductive coatings
cvd_materials,edot_monomer,kg,120.0,EDOT monomer (3 4-ethylenedioxythiophene) for oCVD
cvd_materials,fecl3_oxidant,kg,1.5,Iron(III) chloride oxidant for oCVD
cvd_materials,vocl3_oxidant,kg,35.0,Vanadium oxytrichloride oxidant for oCVD
cvd_materials,glycidyl_methacrylate,kg,6.0,GMA monomer for iCVD
cvd_materials,tert_butyl_acrylate,kg,5.0,tBA monomer for iCVD
cvd_materials,perfluorodecyl_acrylate,kg,250.0,PFDA monomer for iCVD hydrophobic coatings
energy,electricity_industrial_us,kWh,0.071,US industrial electricity rate (EIA 2024)
energy,electricity_industrial_eu,kWh,0.12,EU industrial electricity rate (Eurostat 2024)
energy,natural_gas_industrial,MJ,0.005,US industrial natural gas rate
energy,steam_industrial,kg,0.02,Industrial steam cost per kg
equipment,vacuum_pump_operation,hour,2.50,Vacuum pump operating cost per hour (energy + maintenance)
equipment,tube_furnace_operation,hour,5.00,Tube furnace operating cost per hour
equipment,rotary_reactor_operation,hour,8.00,Rotary CVD reactor operating cost per hour
equipment,coating_line_operation,hour,15.00,Electrode coating line operating cost per hour
equipment,drying_oven_operation,hour,4.00,Drying oven operating cost per hour
equipment,calendering_operation,hour,6.00,Calendering machine operating cost per hour
equipment,slitting_operation,hour,3.50,Slitting machine operating cost per hour
equipment,electrolyte_filling,hour,10.00,Electrolyte filling station operating cost per hour
equipment,formation_cycling,hour,1.20,Formation cycling cost per cell-hour
